Bowler,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls,Year,Balls
Sir Andy Roberts,12,1,51,0,4.25,0,0,0,0,0,1983,72
Malcolm Marshall,12,1,48,2,4.0,0,0,0,0,0,1983,72
Joel Garner,12,1,49,1,4.08,0,0,0,0,0,1983,72
Sir Viv Richards,2,0,13,0,6.5,0,0,0,0,0,1983,12
Larry Gomes,10,0,46,2,4.6,0,0,0,0,0,1983,60
Kapil Dev,10,0,34,0,3.4,0,0,0,0,0,1983,60
Balwinder Sandhu,12,1,36,1,3.0,0,0,0,0,0,1983,72
Madan Lal,12,1,34,1,2.83,0,0,0,0,0,1983,72
Roger Binny,12,1,48,3,4.0,0,0,0,0,0,1983,72
Ravi Shastri,5.1,0,26,3,5.03,0,0,0,0,0,1983,31
Sandeep Patil,3,0,25,0,8.33,0,0,0,0,0,1983,18
Geoff Lawson,11,2,33,0,3.0,0,0,0,0,0,1983,66
Rodney Hogg,12,3,43,1,3.58,0,0,0,0,0,1983,72
Dennis Lillee,12,1,47,2,3.92,0,0,0,0,0,1983,72
Jeff Thomson,11,1,46,0,4.18,0,0,0,0,0,1983,66
Graham Yallop,9,0,28,2,3.11,0,0,0,0,0,1983,54
Allan Border,5,0,11,1,2.2,0,0,0,0,0,1983,30
Vince Hogg,6,2,15,0,2.5,0,0,0,0,0,1983,36
Peter Rawson,12,1,54,0,4.5,0,0,0,0,0,1983,72
Iain Butchart,10,0,39,1,3.9,0,0,0,0,0,1983,60
Duncan Fletcher,11,1,42,4,3.82,0,0,0,0,0,1983,66
John Traicos,12,2,27,0,2.25,0,0,0,0,0,1983,72
Kevin Curran,9,0,38,1,4.22,0,0,0,0,0,1983,54
Ashantha de Mel,12,2,69,2,5.75,0,0,0,0,0,1983,72
Vinothen John,12,2,58,1,4.83,0,0,0,0,0,1983,72
Rumesh Ratnayake,12,0,65,1,5.42,0,0,0,0,0,1983,72
Arjuna Ranatunga,9,0,53,0,5.89,0,0,0,0,0,1983,54
Somachandra De Silva,10,0,52,0,5.2,0,0,0,0,0,1983,60
Athula Samarasekera,5,0,33,0,6.6,0,0,0,0,0,1983,30
Sarfraz Nawaz,12,1,40,3,3.33,0,0,0,0,0,1983,72
Shahid Mahboob,11,0,48,1,4.36,0,0,0,0,0,1983,66
Tahir Naqqash,8,0,49,1,6.13,0,0,0,0,0,1983,48
Rashid Khan,12,1,55,1,4.58,0,0,0,0,0,1983,72
Ijaz Faqih,12,1,52,0,4.33,0,0,0,0,0,1983,72
Mudassar Nazar,4,0,18,1,4.5,0,0,0,0,0,1983,24
Zaheer Abbas,1,0,4,0,4.0,0,0,0,0,0,1983,6
Sir Richard Hadlee,12,4,26,1,2.17,0,0,0,0,0,1983,72
Lance Cairns,12,4,57,1,4.75,0,0,0,0,0,1983,72
Martin Snedden,12,1,105,2,8.75,0,0,0,0,0,1983,72
Ewen Chatfield,12,1,45,1,3.75,0,0,0,0,0,1983,72
Jeremy Coney,6,1,20,1,3.33,0,0,0,0,0,1983,36
Martin Crowe,6,0,51,0,8.5,0,0,0,0,0,1983,36
Bob Willis,7,2,9,2,1.29,0,0,0,0,0,1983,42
Graham Dilley,8,0,33,1,4.13,0,0,0,0,0,1983,48
Sir Ian Botham,12,0,42,2,3.5,0,0,0,0,0,1983,72
Paul Allott,12,1,47,0,3.92,0,0,0,0,0,1983,72
Vic Marks,12,1,39,2,3.25,0,0,0,0,0,1983,72
