Bowler,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls,Year,Balls
Saqlain Mushtaq,10,0,44,2,4.4,31,2,0,0,0,2003,60
Shahid Afridi,8,0,36,2,4.5,23,2,0,0,0,2003,48
Abdul Razzaq,6,0,28,0,4.67,21,3,0,1,1,2003,36
Andy Caddick,7,0,27,1,3.86,29,1,1,4,0,2003,42
James Anderson,10,2,29,4,2.9,48,3,0,3,0,2003,60
Andrew Flintoff,9,2,37,2,4.11,41,5,1,4,0,2003,54
Craig White,5,0,33,3,6.6,17,3,2,0,0,2003,30
Shaun Pollock,6,2,8,2,1.33,32,0,0,0,3,2003,36
Makhaya Ntini,7.1,1,24,4,3.35,34,3,0,0,2,2003,43
Monde Zondeki,5,1,17,1,3.4,21,0,0,4,0,2003,30
Andrew Hall,6,2,15,2,2.5,32,2,0,3,2,2003,36
Jacques Kallis,5,0,19,0,3.8,18,1,0,1,1,2003,30
Robin Peterson,6,0,21,0,3.5,23,1,1,0,0,2003,36
Manjurul Islam,4,0,26,0,6.5,14,5,0,0,0,2003,24
Talha Jubair,2,0,24,0,12.0,7,4,0,6,0,2003,12
Khaled Mahmud,2,0,20,0,10.0,6,4,0,1,0,2003,12
Mohammad Rafique,2,0,20,0,10.0,6,3,1,0,0,2003,12
Alok Kapali,2,0,18,0,9.0,4,1,1,0,0,2003,12
Edgar Schiferli,7,0,42,0,6.0,25,7,0,1,0,2003,42
Roland Lefebvre,8,2,19,0,2.38,36,1,0,2,0,2003,48
Tim de Leede,7,0,34,2,4.86,25,3,0,4,0,2003,42
Feiko Kloppenburg,7,0,32,0,4.57,18,2,0,1,0,2003,42
Jacob-Jan Esmeijer,5,0,16,0,3.2,16,0,0,0,0,2003,30
Daan van Bunge,2,0,20,0,10.0,3,3,0,0,0,2003,12
Glenn McGrath,3,1,10,0,3.33,13,1,0,1,0,2003,18
Jason Gillespie,3,0,7,2,2.33,16,0,0,3,0,2003,18
Darren Lehmann,8,0,27,2,3.38,33,1,1,1,0,2003,48
Andrew Symonds,7,0,36,0,5.14,26,4,0,4,0,2003,42
Andy Bichel,5,0,13,3,2.6,23,1,0,1,0,2003,30
Ian Harvey,4.2,0,25,3,5.77,17,2,1,1,1,2003,26
Gerrie Snyman,10,0,69,3,6.9,27,7,1,2,2,2003,60
Rudi van Vuuren,10,2,43,5,4.3,40,5,1,0,0,2003,60
Louis Burger,9,0,45,0,5.0,27,4,0,0,1,2003,54
Bjorn Kotze,3,0,24,0,8.0,7,4,0,0,0,2003,18
Deon Kotze,10,0,35,1,3.5,36,1,1,0,0,2003,60
Jan-Berrie Burger,2,0,23,1,11.5,4,4,0,2,0,2003,12
Sarel Burger,6,0,32,0,5.33,13,1,1,0,0,2003,36
Andy Caddick,8,2,28,0,3.5,38,4,0,2,0,2003,48
James Anderson,8,0,44,1,5.5,27,4,1,3,0,2003,48
Andrew Flintoff,10,2,33,2,3.3,44,4,0,1,0,2003,60
Craig White,10,0,46,2,4.6,35,2,2,0,2,2003,60
Michael Vaughan,6,0,31,0,5.17,16,3,0,0,1,2003,36
Ronnie Irani,8,0,30,3,3.75,26,3,0,0,0,2003,48
Chaminda Vaas,7,4,15,3,2.14,36,3,0,0,0,2003,42
Prabath Nissanka,7,1,12,4,1.71,38,2,0,1,1,2003,42
Muttiah Muralitharan,2.4,0,3,1,1.13,13,0,0,0,0,2003,16
Dilhara Fernando,2,0,4,2,2.0,10,0,0,1,0,2003,12
Sanjayan Thuraisingam,2.4,0,22,1,8.25,8,4,0,0,0,2003,16
John Davison,2,0,15,0,7.5,6,2,0,0,0,2003,12
Heath Streak,9,0,46,1,5.11,27,5,0,1,0,2003,54
Andy Blignaut,10,0,54,1,5.4,27,4,0,5,0,2003,60
Douglas Hondo,9,1,56,1,6.22,30,7,1,0,0,2003,54
Guy Whittall,6,0,37,1,6.17,20,5,0,0,0,2003,36
Grant Flower,6,0,14,2,2.33,23,0,0,1,0,2003,36
Brian Murphy,10,0,40,1,4.0,30,0,1,2,0,2003,60
Javagal Srinath,8,1,14,2,1.75,36,0,0,0,0,2003,48
Zaheer Khan,7.4,0,23,2,3.0,34,2,0,3,1,2003,46
Ashish Nehra,7,0,35,0,5.0,20,3,0,0,1,2003,42
Harbhajan Singh,10,0,42,2,4.2,29,2,0,2,0,2003,60
Sourav Ganguly,5,1,22,3,4.4,17,1,0,0,0,2003,30
Virender Sehwag,3,0,14,1,4.67,5,0,0,0,0,2003,18
Dinesh Mongia,4,0,16,0,4.0,13,1,0,0,0,2003,24
Manjurul Islam,10,0,62,3,6.2,39,6,3,4,0,2003,60
Talha Jubair,8,0,46,0,5.75,31,3,1,5,6,2003,48
Khaled Mahmud,10,1,48,2,4.8,32,4,1,0,1,2003,60
Ehsanul Haque,10,0,34,2,3.4,32,1,0,1,0,2003,60
Mohammad Rafique,10,0,44,0,4.4,29,2,1,0,0,2003,60
Alok Kapali,2,1,3,1,1.5,9,0,0,0,0,2003,12
Mervyn Dillon,4.1,0,13,1,3.12,18,0,0,3,0,2003,25
Vasbert Drakes,4,1,17,1,4.25,18,3,0,0,0,2003,24
Shane Bond,10,0,73,1,7.3,28,11,0,3,2,2003,60
Andre Adams,9,0,57,1,6.33,33,8,1,4,0,2003,54
Jacob Oram,8,0,52,2,6.5,26,6,1,3,1,2003,48
Scott Styris,10,0,44,1,4.4,36,4,1,1,0,2003,60
Daniel Vettori,10,0,58,1,5.8,25,4,2,0,0,2003,60
Nathan Astle,3,0,16,0,5.33,6,1,0,0,0,2003,18
Shaun Pollock,8,0,36,0,4.5,26,4,0,0,0,2003,48
Makhaya Ntini,8,1,33,0,4.13,31,4,0,3,0,2003,48
Allan Donald,5.5,0,52,1,8.91,16,6,1,3,0,2003,35
Jacques Kallis,8,0,47,0,5.88,23,5,0,1,0,2003,48
Nicky Boje,2,0,16,0,8.0,3,2,0,1,0,2003,12
Lance Klusener,5,0,37,0,7.4,10,5,0,0,0,2003,30
Gerrie Snyman,8,0,51,2,6.38,27,7,0,4,1,2003,48
Rudi van Vuuren,10,1,47,0,4.7,33,5,0,1,0,2003,60
Bjorn Kotze,10,1,51,2,5.1,31,5,0,3,0,2003,60
Louis Burger,10,0,45,1,4.5,32,3,0,2,0,2003,60
Deon Kotze,8,0,32,1,4.0,21,1,0,0,0,2003,48
Jan-Berrie Burger,4,0,18,1,4.5,12,1,0,0,0,2003,24
Wasim Akram,9,1,28,5,3.11,39,3,0,2,2,2003,54
Shoaib Akhtar,8,1,46,4,5.75,31,4,0,2,2,2003,48
Saqlain Mushtaq,0.4,0,1,1,1.5,3,0,0,0,0,2003,4
Andy Caddick,10,4,19,0,1.9,53,2,0,1,2,2003,60
James Anderson,10,1,25,4,2.5,50,3,0,1,0,2003,60
Andrew Flintoff,10,2,29,1,2.9,46,4,0,1,0,2003,60
Craig White,10,3,22,2,2.2,44,1,0,0,0,2003,60
Ian Blackwell,10,0,37,2,3.7,38,4,0,1,0,2003,60
Edgar Schiferli,5,0,33,1,6.6,17,5,0,2,0,2003,30
Roland Lefebvre,5,0,18,0,3.6,21,2,0,1,0,2003,30
Tim de Leede,4,0,29,0,7.25,11,5,0,0,0,2003,24
Adeel Raja,5,0,34,0,6.8,13,5,0,0,0,2003,30
Daan van Bunge,3,0,16,3,5.33,14,4,0,0,0,2003,18
Feiko Kloppenburg,1.2,0,14,0,10.5,3,3,0,0,0,2003,8
Martin Suji,7,1,23,0,3.29,32,2,1,0,0,2003,42
Thomas Odoyo,10,1,28,4,2.8,49,3,1,2,0,2003,60
Peter Ongondo,6,1,12,1,2.0,30,1,0,1,1,2003,36
Collins Obuya,10,1,46,2,4.6,39,6,1,1,0,2003,60
Maurice Odumbe,9,0,41,2,4.56,29,3,1,0,0,2003,54
Tony Suji,7,0,45,1,6.43,17,2,2,1,0,2003,42
Davis Joseph,10,1,39,0,3.9,45,5,0,3,0,2003,60
Sanjayan Thuraisingam,10,1,53,2,5.3,36,6,0,2,0,2003,60
Austin Codrington,10,1,44,1,4.4,40,6,0,1,0,2003,60
John Davison,10,3,15,3,1.5,51,0,0,3,0,2003,60
Nicholas de Groot,4,0,22,0,5.5,14,2,1,0,0,2003,24
Ishwar Maraj,4.3,0,22,0,4.89,15,3,0,0,0,2003,27
Glenn McGrath,8,3,23,1,2.88,38,3,0,0,0,2003,48
Brett Lee,9,1,36,3,4.0,42,5,1,3,1,2003,54
Jason Gillespie,10,2,13,3,1.3,48,0,0,1,0,2003,60
Andrew Symonds,6,0,25,0,4.17,23,1,0,4,0,2003,36
Brad Hogg,4.4,0,16,1,3.43,19,2,0,0,0,2003,28
Darren Lehmann,4,0,7,1,1.75,17,0,0,0,0,2003,24
Javagal Srinath,4,0,26,0,6.5,13,1,1,1,0,2003,24
Zaheer Khan,4,0,26,0,6.5,13,3,0,1,0,2003,24
Harbhajan Singh,7.2,0,49,0,6.68,22,5,1,1,0,2003,44
Anil Kumble,7,0,24,1,3.43,27,2,0,1,0,2003,42
Chaminda Vaas,9.1,2,25,6,2.73,43,2,0,2,0,2003,55
Prabath Nissanka,5,0,22,0,4.4,20,1,0,2,2,2003,30
Dilhara Fernando,7,0,47,1,6.71,23,5,1,4,1,2003,42
Muttiah Muralitharan,10,4,25,3,2.5,50,2,1,0,0,2003,60
Manjurul Islam,6,1,22,0,3.67,25,3,0,0,0,2003,36
Mashrafe Mortaza,5,0,38,0,7.6,18,8,0,1,0,2003,30
Tapash Baisya,3,0,21,0,7.0,8,2,0,0,1,2003,18
Mohammad Rafique,4.1,1,22,0,5.28,16,3,0,0,0,2003,25
Sanwar Hossain,2,0,14,0,7.0,4,2,0,0,0,2003,12
Alok Kapali,1,0,9,0,9.0,2,0,1,0,0,2003,6
Mervyn Dillon,10,1,30,1,3.0,44,2,1,1,0,2003,60
Nixon McLean,6,0,38,0,6.33,20,7,0,1,0,2003,36
Vasbert Drakes,10,1,49,2,4.9,35,4,1,0,2,2003,60
Wavell Hinds,10,0,35,3,3.5,33,2,0,0,0,2003,60
Carl Hooper,9,0,42,0,4.67,22,3,0,0,0,2003,54
Chris Gayle,5,0,37,1,7.4,12,1,2,2,0,2003,30
Shane Bond,10,2,43,0,4.3,38,4,0,2,0,2003,60
Andre Adams,9.4,1,44,4,4.55,37,6,0,1,0,2003,58
Jacob Oram,10,2,26,2,2.6,44,2,0,0,0,2003,60
Chris Cairns,1,0,21,0,21.0,2,3,1,1,1,2003,6
Daniel Vettori,10,0,38,1,3.8,29,1,0,0,0,2003,60
Nathan Astle,4,0,14,0,3.5,13,1,0,0,0,2003,24
Scott Styris,5,0,31,1,6.2,15,2,1,1,0,2003,30
Edgar Schiferli,10,2,49,0,4.9,32,6,0,0,0,2003,60
Roland Lefebvre,9,1,27,1,3.0,37,2,0,2,0,2003,54
Tim de Leede,9.5,0,35,4,3.56,38,2,0,2,0,2003,59
Feiko Kloppenburg,10,0,40,1,4.0,32,0,0,3,1,2003,60
Adeel Raja,9,0,47,2,5.22,25,3,1,0,0,2003,54
Luuk van Troost,1,0,4,0,4.0,3,0,0,0,0,2003,6
Javagal Srinath,9.1,1,30,4,3.27,40,2,0,1,1,2003,55
Zaheer Khan,8,1,17,1,2.13,41,0,0,9,0,2003,48
Harbhajan Singh,10,1,20,1,2.0,43,0,0,0,0,2003,60
Anil Kumble,10,1,32,4,3.2,46,4,0,1,1,2003,60
Sourav Ganguly,4,0,14,0,3.5,15,1,0,2,0,2003,24
Sachin Tendulkar,4,0,9,0,2.25,15,0,0,0,0,2003,24
Virender Sehwag,3,0,6,0,2.0,12,0,0,0,0,2003,18
Shaun Pollock,6,2,15,2,2.5,31,1,0,1,2,2003,36
Makhaya Ntini,7,1,14,1,2.0,33,0,0,1,0,2003,42
Jacques Kallis,3,0,23,0,7.67,10,4,0,0,0,2003,18
Charl Langeveldt,5,0,24,0,4.8,19,2,0,0,1,2003,30
Nicky Boje,9,1,44,1,4.89,32,3,2,0,0,2003,54
Lance Klusener,8,2,16,4,2.0,39,0,0,1,1,2003,48
Martin Suji,4,0,21,0,5.25,18,4,0,1,0,2003,24
Thomas Odoyo,6,1,34,0,5.67,22,6,0,1,0,2003,36
Aasif Karim,2,0,17,0,8.5,7,2,1,0,0,2003,12
Collins Obuya,5,1,32,0,6.4,19,4,1,0,1,2003,30
Maurice Odumbe,2,0,21,0,10.5,7,2,2,0,0,2003,12
Peter Ongondo,2.2,0,17,0,7.29,7,3,0,0,0,2003,14
Manjurul Islam,8.1,1,30,1,3.67,32,1,0,1,0,2003,49
Mashrafe Mortaza,8,0,38,2,4.75,33,5,0,5,2,2003,48
Tapash Baisya,3,0,26,1,8.67,10,4,1,1,0,2003,18
Mohammad Rafique,10,2,34,1,3.4,47,5,0,5,0,2003,60
Sanwar Hossain,10,0,26,2,2.6,43,1,1,1,0,2003,60
Alok Kapali,10,0,19,1,1.9,44,0,0,1,0,2003,60
Davis Joseph,8,1,42,2,5.25,31,5,0,8,0,2003,48
Sanjayan Thuraisingam,6,0,34,1,5.67,26,5,0,5,0,2003,36
Austin Codrington,9,3,27,5,3.0,39,2,0,1,0,2003,54
John Davison,5,1,15,2,3.0,22,2,0,0,0,2003,30
Wasim Akram,10,0,64,3,6.4,33,7,1,5,2,2003,60
Shoaib Akhtar,10,0,45,2,4.5,32,3,0,3,0,2003,60
Waqar Younis,8.3,1,50,2,5.88,29,4,1,3,2,2003,51
Abdul Razzaq,6,0,42,0,7.0,20,8,0,0,2,2003,36
Shahid Afridi,9.3,0,63,0,6.63,25,9,0,1,0,2003,57
Younis Khan,6,0,36,0,6.0,12,2,0,0,1,2003,36
Glenn McGrath,10,2,39,1,3.9,45,6,0,1,0,2003,60
Jason Gillespie,8,1,28,1,3.5,34,3,0,3,0,2003,48
Brett Lee,7,0,37,1,5.29,22,3,0,0,5,2003,42
Ian Harvey,9.3,0,58,4,6.11,25,3,2,3,0,2003,57
Brad Hogg,10,0,54,3,5.4,35,4,2,3,0,2003,60
Daryl Tuffey,5,0,36,0,7.2,15,3,0,0,1,2003,30
Shane Bond,10,1,44,2,4.4,38,3,0,3,2,2003,60
Jacob Oram,10,0,37,0,3.7,35,1,0,0,1,2003,60
Andre Adams,9,0,58,2,6.44,26,8,0,0,0,2003,54
Chris Harris,4,0,26,0,6.5,8,2,0,0,0,2003,24
Scott Styris,5,0,28,0,5.6,15,3,0,1,0,2003,30
Nathan Astle,7,0,34,3,4.86,16,1,0,0,0,2003,42
Chaminda Vaas,7,0,22,0,3.14,26,1,0,0,0,2003,42
Pulasthi Gunaratne,5,0,24,2,4.8,18,0,0,1,0,2003,30
Dilhara Fernando,3,1,19,0,6.33,9,1,1,0,0,2003,18
Muttiah Muralitharan,9,1,42,2,4.67,35,1,3,0,0,2003,54
Sanath Jayasuriya,8,0,32,1,4.0,23,1,0,2,0,2003,48
Aravinda de Silva,5,0,29,1,5.8,13,1,1,1,0,2003,30
Russel Arnold,8.3,0,47,3,5.53,19,0,1,1,0,2003,51
Gerrie Snyman,10,0,49,0,4.9,34,6,0,1,1,2003,60
Louis Burger,10,1,70,0,7.0,31,9,2,0,0,2003,60
Bjorn Kotze,10,1,75,0,7.5,21,4,3,2,0,2003,60
Lennie Louw,10,0,60,1,6.0,27,7,0,1,0,2003,60
Deon Kotze,7,0,56,0,8.0,10,3,1,0,0,2003,42
Jan-Berrie Burger,3,0,23,1,7.67,6,3,0,0,0,2003,18
Heath Streak,5,0,35,2,7.0,17,4,1,2,0,2003,30
Douglas Hondo,6,1,20,0,3.33,24,1,0,1,0,2003,36
Henry Olonga,3,1,8,0,2.67,13,1,0,0,0,2003,18
Brian Murphy,1,0,7,0,7.0,3,1,0,0,0,2003,6
Grant Flower,5.1,1,13,1,2.52,21,1,0,0,0,2003,31
Guy Whittall,5,0,20,2,4.0,21,1,0,1,0,2003,30
Shaun Pollock,10,2,52,2,5.2,36,4,2,0,1,2003,60
Makhaya Ntini,10,1,37,2,3.7,38,3,0,2,0,2003,60
Allan Donald,9,0,54,0,6.0,29,6,1,1,1,2003,54
Jacques Kallis,10,2,52,0,5.2,34,5,1,0,0,2003,60
Lance Klusener,8,0,53,1,6.63,18,3,1,0,2,2003,48
Nicky Boje,3,0,24,0,8.0,8,4,0,1,0,2003,18
Mervyn Dillon,10,0,47,2,4.7,34,3,1,1,0,2003,60
Pedro Collins,9,0,54,1,6.0,25,6,0,1,1,2003,54
Vasbert Drakes,8,1,33,2,4.13,31,5,0,0,1,2003,48
Carl Hooper,10,0,63,2,6.3,28,4,2,0,1,2003,60
Chris Gayle,10,1,60,2,6.0,34,1,5,2,0,2003,60
Ricardo Powell,2,0,14,0,7.0,5,2,0,1,0,2003,12
Chaminda Vaas,8,0,54,0,6.75,25,5,1,1,2,2007,48
Lasith Malinga,8,1,49,2,6.13,26,5,2,0,0,2007,48
Dilhara Fernando,8,0,74,1,9.25,13,7,2,4,1,2007,48
Muttiah Muralitharan,7,0,44,0,6.29,13,1,1,2,0,2007,42
Tillakaratne Dilshan,2,0,23,0,11.5,4,0,2,1,0,2007,12
Sanath Jayasuriya,5,0,33,0,6.6,13,2,2,0,0,2007,30
Nathan Bracken,6,1,34,1,5.67,21,5,0,1,0,2007,36
Shaun Tait,6,0,42,0,7.0,17,6,0,2,0,2007,36
Glenn McGrath,7,0,31,1,4.43,24,2,1,1,0,2007,42
Shane Watson,7,0,49,1,7.0,15,5,0,3,0,2007,42
Brad Hogg,3,0,19,1,6.33,7,2,0,0,0,2007,18
Michael Clarke,5,0,33,2,6.6,14,0,2,2,0,2007,30
Andrew Symonds,2,0,6,1,3.0,7,0,0,0,0,2007,12
Nathan Bracken,7,2,15,1,2.14,30,1,0,0,0,2007,42
Glenn McGrath,8,1,18,3,2.25,38,2,0,1,0,2007,48
Shaun Tait,10,0,39,4,3.9,48,6,0,5,0,2007,60
Shane Watson,8.5,0,49,1,5.55,31,7,1,0,0,2007,53
Brad Hogg,10,2,24,1,2.4,43,1,0,3,0,2007,60
Shaun Pollock,5,1,16,1,3.2,20,1,0,0,0,2007,30
Charl Langeveldt,6,0,34,1,5.67,23,6,0,1,1,2007,36
Jacques Kallis,5,1,20,0,4.0,20,2,0,1,1,2007,30
Andre Nel,7,1,31,1,4.43,29,5,0,1,0,2007,42
Andrew Hall,6.3,0,43,0,6.62,20,6,0,0,1,2007,39
Justin Kemp,2,0,4,0,2.0,9,0,0,0,0,2007,12
James Franklin,9,1,46,2,5.11,34,6,0,2,2,2007,54
Shane Bond,10,1,59,1,5.9,31,7,1,3,1,2007,60
Jacob Oram,10,0,60,1,6.0,31,6,1,1,2,2007,60
Daniel Vettori,10,0,51,1,5.1,29,2,2,1,0,2007,60
Jeetan Patel,10,0,62,0,6.2,19,4,1,0,0,2007,60
Scott Styris,1,0,8,0,8.0,2,1,0,1,0,2007,6
Chaminda Vaas,8,1,25,1,3.13,32,2,0,1,0,2007,48
Lasith Malinga,7,2,21,1,3.0,29,1,0,0,1,2007,42
Dilhara Fernando,5,0,45,0,9.0,15,2,3,1,5,2007,30
Muttiah Muralitharan,8,0,31,4,3.88,28,1,1,1,0,2007,48
Sanath Jayasuriya,9,0,57,2,6.33,22,3,2,3,0,2007,54
Tillakaratne Dilshan,4.4,0,22,2,4.71,15,1,1,1,0,2007,28
James Anderson,6,0,39,0,6.5,18,4,0,6,0,2007,36
Liam Plunkett,7,0,71,1,10.14,22,7,4,5,2,2007,42
Stuart Broad,6,1,32,0,5.33,21,4,0,1,0,2007,36
Andrew Flintoff,9.5,0,59,2,6.0,29,8,0,0,1,2007,59
Jamie Dalrymple,3,0,19,0,6.33,10,3,0,1,0,2007,18
Paul Collingwood,8,0,40,1,5.0,23,4,0,1,0,2007,48
Michael Vaughan,10,0,39,3,3.9,32,3,0,0,0,2007,60
Corey Collymore,10,0,61,1,6.1,31,7,0,2,0,2007,60
Daren Powell,10,0,58,0,5.8,32,8,0,2,0,2007,60
Jerome Taylor,10,1,65,2,6.5,25,5,2,0,0,2007,60
Chris Gayle,5,0,32,0,6.4,6,1,1,0,0,2007,30
Dwayne Bravo,9.5,0,47,2,4.78,32,5,0,1,0,2007,59
Ramnaresh Sarwan,5,1,21,1,4.2,15,1,0,0,0,2007,30
Michael Mason,3,0,27,0,9.0,7,2,1,1,1,2007,18
James Franklin,8,0,74,3,9.25,27,10,2,1,5,2007,48
Jeetan Patel,10,0,48,2,4.8,25,2,0,0,1,2007,60
Daniel Vettori,10,0,60,0,6.0,19,4,0,0,2,2007,60
Scott Styris,10,0,50,1,5.0,28,3,1,2,0,2007,60
Mark Gillespie,6,0,67,0,11.17,8,8,2,0,1,2007,36
Craig McMillan,3,0,21,0,7.0,5,2,0,0,0,2007,18
Nathan Bracken,4,0,27,0,6.75,14,2,1,1,0,2007,24
Shaun Tait,6,0,32,3,5.33,22,4,0,4,1,2007,36
Glenn McGrath,4,0,25,2,6.25,12,3,0,0,1,2007,24
Brad Hogg,6.5,1,29,4,4.24,23,2,0,1,0,2007,41
Shane Watson,5,0,20,1,4.0,19,1,0,1,0,2007,30
Mashrafe Mortaza,10,2,39,1,3.9,39,2,1,2,0,2007,60
Syed Rasel,10,2,48,1,4.8,38,4,1,1,0,2007,60
Abdur Razzak,10,0,44,1,4.4,31,1,1,0,0,2007,60
Mohammad Rafique,10,0,46,0,4.6,26,3,0,0,0,2007,60
Shakib Al Hasan,8,0,38,1,4.75,21,2,1,0,0,2007,48
Aftab Ahmed,2,0,12,1,6.0,3,1,0,0,0,2007,12
Corey Collymore,7,1,11,2,1.57,34,0,0,1,0,2007,42
Daren Powell,10,0,38,3,3.8,39,3,0,4,0,2007,60
Jerome Taylor,8,0,25,0,3.13,33,2,0,1,0,2007,48
Dwayne Bravo,10,3,28,2,2.8,47,3,0,1,2,2007,60
Chris Gayle,8.5,0,28,2,3.17,31,1,0,0,0,2007,53
Chaminda Vaas,5.4,1,18,1,3.18,26,2,0,0,1,2007,34
Nuwan Kulasekara,7,3,10,0,1.43,36,1,0,0,0,2007,42
Farveez Maharoof,10,3,25,4,2.5,48,2,1,0,1,2007,60
Muttiah Muralitharan,5,0,19,4,3.8,22,3,0,2,0,2007,30
Boyd Rankin,4,0,36,1,9.0,13,2,2,2,3,2007,24
Dave Langford-Smith,3,0,29,1,9.67,7,4,0,3,0,2007,18
Andre Botha,1,0,4,0,4.0,5,1,0,0,0,2007,6
Kevin O'Brien,1,0,4,0,4.0,5,1,0,0,0,2007,6
Kenny Carroll,1,0,8,0,8.0,4,2,0,0,0,2007,6
Shaun Pollock,10,2,17,0,1.7,46,0,0,0,1,2007,60
Charl Langeveldt,7,1,38,1,5.43,30,6,1,0,0,2007,42
Andre Nel,10,3,35,3,3.5,46,4,0,4,2,2007,60
Andrew Hall,10,2,18,5,1.8,45,1,0,0,0,2007,60
Jacques Kallis,8,0,22,1,2.75,31,1,0,0,0,2007,48
Justin Kemp,3,0,16,0,5.33,7,1,0,1,0,2007,18
James Anderson,5,0,32,0,6.4,15,3,0,2,0,2007,30
Sajid Mahmood,4.2,0,49,0,11.31,7,7,0,0,1,2007,26
Andrew Flintoff,6,0,36,1,6.0,20,6,0,1,1,2007,36
Monty Panesar,2,0,24,0,12.0,4,5,0,0,0,2007,12
Paul Collingwood,2,0,12,0,6.0,6,2,0,0,0,2007,12
Nathan Bracken,9.4,3,19,4,1.97,49,3,0,1,0,2007,58
Shaun Tait,10,0,68,2,6.8,29,5,1,6,1,2007,60
Glenn McGrath,9,1,48,2,5.33,34,7,1,0,1,2007,54
Brad Hogg,10,0,35,2,3.5,34,1,0,0,0,2007,60
Andrew Symonds,3,0,15,0,5.0,9,1,0,0,1,2007,18
Michael Clarke,8,0,36,0,4.5,24,0,1,0,0,2007,48
Dilhara Fernando,6,1,36,0,6.0,28,6,0,3,3,2007,36
Farveez Maharoof,7,0,52,0,7.43,19,5,1,0,1,2007,42
Nuwan Kulasekara,4,0,20,0,5.0,16,3,0,0,1,2007,24
Russel Arnold,4,0,20,2,5.0,12,0,1,1,0,2007,24
Malinga Bandara,9.4,0,53,1,5.48,31,6,1,0,0,2007,58
Sanath Jayasuriya,6,0,32,0,5.33,19,1,2,0,0,2007,36
Tillakaratne Dilshan,6,0,19,0,3.17,22,1,0,0,0,2007,36
Mashrafe Mortaza,10,1,38,2,3.8,38,3,0,0,3,2007,60
Shahadat Hossain,9,1,51,0,5.67,33,3,1,1,2,2007,54
Abdur Razzak,9,0,48,0,5.33,28,2,2,2,0,2007,54
Mohammad Rafique,10,0,42,0,4.2,27,1,0,2,0,2007,60
Shakib Al Hasan,10,0,44,1,4.4,26,1,0,0,0,2007,60
Aftab Ahmed,2,0,8,0,4.0,5,0,0,1,0,2007,12
Boyd Rankin,8,0,42,2,5.25,34,2,1,9,0,2007,48
Dave Langford-Smith,10,1,27,2,2.7,43,2,0,3,0,2007,60
Andre Botha,8,0,31,1,3.88,32,3,1,0,0,2007,48
Trent Johnston,7.2,0,40,2,5.45,23,5,0,2,0,2007,44
Kyle McCallan,8,1,25,2,3.13,32,3,0,0,0,2007,48
James Franklin,7,2,16,1,2.29,30,0,0,1,0,2007,42
Shane Bond,10,1,26,2,2.6,47,3,0,1,1,2007,60
Jacob Oram,5,2,23,0,4.6,20,1,2,0,0,2007,30
Jeetan Patel,10,1,36,0,3.6,33,0,1,0,0,2007,60
Daniel Vettori,10,0,50,1,5.0,29,3,0,1,0,2007,60
Scott Styris,3,0,16,0,5.33,7,0,0,2,0,2007,18
Craig McMillan,5,0,23,3,4.6,13,1,0,0,0,2007,30
Shaun Pollock,10,0,30,1,3.0,38,1,0,2,0,2007,60
Makhaya Ntini,10,0,42,1,4.2,41,6,0,1,0,2007,60
Andre Nel,9.2,0,33,2,3.54,38,2,0,1,1,2007,56
Andrew Hall,8,0,32,0,4.0,32,4,0,2,0,2007,48
Jacques Kallis,4,0,17,0,4.25,14,2,0,0,0,2007,24
Robin Peterson,7,0,39,1,5.57,21,3,1,2,0,2007,42
Glenn McGrath,7,1,17,3,2.43,32,1,0,0,0,2007,42
Shaun Tait,6,1,39,3,6.5,25,3,0,9,1,2007,36
Stuart Clark,8,1,19,1,2.38,40,2,0,1,0,2007,48
Brad Hogg,6,2,9,1,1.5,31,0,0,2,0,2007,36
Andrew Symonds,3,1,7,1,2.33,14,1,0,0,0,2007,18
Dave Langford-Smith,3,0,27,0,9.0,8,3,0,2,0,2007,18
Boyd Rankin,4.2,0,24,0,5.54,17,1,1,4,0,2007,26
Trent Johnston,3,0,18,1,6.0,10,2,0,2,1,2007,18
John Mooney,1,0,14,0,14.0,2,1,1,0,0,2007,6
Kyle McCallan,1,0,5,0,5.0,4,1,0,0,0,2007,6
Chaminda Vaas,9,2,33,3,3.67,41,4,0,1,0,2007,54
Dilhara Fernando,7,2,31,0,4.43,28,3,0,1,3,2007,42
Farveez Maharoof,6,0,31,0,5.17,24,5,0,0,1,2007,36
Muttiah Muralitharan,10,0,32,3,3.2,34,0,0,2,1,2007,60
Sanath Jayasuriya,10,0,44,0,4.4,24,0,0,0,0,2007,60
Tillakaratne Dilshan,8,1,44,1,5.5,18,0,2,0,0,2007,48
James Franklin,8,0,49,1,6.13,26,5,0,2,1,2007,48
Shane Bond,8,0,26,0,3.25,34,3,0,0,0,2007,48
Mark Gillespie,6.1,1,42,0,6.81,20,4,1,0,4,2007,37
Daniel Vettori,10,0,35,2,3.5,30,0,0,1,1,2007,60
Scott Styris,7,1,28,0,4.0,23,2,0,0,0,2007,42
Jacob Oram,6,0,31,1,5.17,12,1,0,0,2,2007,36
James Anderson,8,0,30,2,3.75,34,3,0,4,0,2007,48
Sajid Mahmood,8.2,0,27,3,3.24,37,4,0,2,0,2007,50
Andrew Flintoff,8,0,38,1,4.75,34,3,1,4,2,2007,48
