Batsman,Dismissal,Runs,Balls,Minutes,4s,6s,StrikeRate,Year
Sir Clive Lloyd,not out,19,22,0,3,0,86.36,1983
Glenn Turner,c Dias b de Mel,6,10,0,1,0,60.0,1983
John Wright,c de Alwis b de Mel,0,7,0,0,0,0.0,1983
Geoff Howarth,b Ratnayake,15,23,0,2,0,65.22,1983
Martin Crowe,lbw b Ratnayake,8,32,0,0,0,25.0,1983
Bruce Edgar,c Samarasekera b de Silva,27,77,0,3,0,35.06,1983
Jeremy Coney,c ? b de Silva,22,50,0,2,0,44.0,1983
Sir Richard Hadlee,c Madugalle b de Mel,15,39,0,3,0,38.46,1983
Warren Lees,c Ranatunga b de Mel,2,16,0,0,0,12.5,1983
Lance Cairns,c Dias b de Mel,6,7,0,1,0,85.71,1983
Martin Snedden,run out,40,55,0,5,0,72.73,1983
Ewen Chatfield,not out,19,48,0,2,0,39.58,1983
Sidath Wettimuny,b Cairns,4,30,0,0,0,13.33,1983
Brendon Kuruppu,c & b Snedden,62,120,0,10,0,51.67,1983
Arjuna Ranatunga,b Crowe,15,22,0,2,0,68.18,1983
Roy Dias,not out,64,101,0,9,0,63.37,1983
Duleep Mendis,lbw b Chatfield,0,2,0,0,0,0.0,1983
Ranjan Madugalle,c Lees b Snedden,6,18,0,0,0,33.33,1983
Athula Samarasekera,c Lees b Hadlee,5,11,0,0,0,45.45,1983
Somachandra De Silva,run out,2,10,0,0,0,20.0,1983
Guy de Alwis,not out,11,10,0,1,0,110.0,1983
Mohsin Khan,c Marks b Allott,32,98,0,3,0,32.65,1983
Mudassar Nazar,c Gould b Dilley,18,23,0,2,0,78.26,1983
Zaheer Abbas,c Gould b Dilley,0,8,0,0,0,0.0,1983
Javed Miandad,run out,67,100,0,6,0,67.0,1983
Imran Khan,c Willis b Marks,13,28,0,2,0,46.43,1983
Wasim Raja,c Willis b Marks,15,24,0,3,0,62.5,1983
Ijaz Faqih,not out,42,52,0,5,0,80.77,1983
Sarfraz Nawaz,b Willis,17,20,0,1,1,85.0,1983
Abdul Qadir,run out,6,7,0,0,0,85.71,1983
Wasim Bari,not out,2,3,0,0,0,66.67,1983
Graeme Fowler,c Javed Miandad b Mudassar Nazar,69,96,0,7,0,71.88,1983
Chris Tavare,c Wasim Raja b Zaheer Abbas,58,116,0,5,0,50.0,1983
David Gower,c Zaheer Abbas b Mudassar Nazar,31,48,0,3,0,64.58,1983
Allan Lamb,not out,38,57,0,4,0,66.67,1983
Mike Gatting,not out,14,27,0,1,0,51.85,1983
Graeme Wood,c Rawson b Traicos,73,121,0,5,0,60.33,1983
Trevor Chappell,c Traicos b Rawson,22,29,0,4,0,75.86,1983
Kim Hughes,b Traicos,31,59,0,2,0,52.54,1983
David Hookes,c Brown b Fletcher,10,21,0,0,0,47.62,1983
Graham Yallop,c Houghton b Curran,20,42,0,3,0,47.62,1983
Allan Border,b Butchart,43,47,0,2,0,91.49,1983
Rod Marsh,not out,35,28,0,2,1,125.0,1983
Ken MacLeay,c Rawson b Butchart,9,9,0,0,1,100.0,1983
Tom Hogan,not out,5,10,0,0,0,50.0,1983
Robin Brown,c Marsh b Hogan,38,80,0,4,0,47.5,1983
Grant Paterson,lbw b RM Hogg,17,41,0,1,0,41.46,1983
Jack Heron,run out,3,11,0,0,0,27.27,1983
Andy Pycroft,run out,13,24,0,1,0,54.17,1983
Dave Houghton,c Hughes b Chappell,84,108,0,9,1,77.78,1983
Duncan Fletcher,b Hogan,2,11,0,0,0,18.18,1983
Kevin Curran,lbw b Chappell,35,53,0,2,0,66.04,1983
Iain Butchart,lbw b RM Hogg,0,1,0,0,0,0.0,1983
Peter Rawson,lbw b RM Hogg,0,1,0,0,0,0.0,1983
John Traicos,b Chappell,19,21,0,1,0,90.48,1983
Vince Hogg,not out,7,19,0,0,0,36.84,1983
Mohsin Khan,c Ranatunga b de Mel,3,14,0,0,0,21.43,1983
Mansoor Akhtar,c de Alwis b de Mel,6,32,0,0,0,18.75,1983
Zaheer Abbas,c Dias b de Mel,15,28,0,2,0,53.57,1983
Javed Miandad,lbw b Ratnayake,7,14,0,1,0,50.0,1983
Imran Khan,not out,102,133,0,11,0,76.69,1983
Ijaz Faqih,lbw b Ratnayake,0,1,0,0,0,0.0,1983
Shahid Mahboob,c de Silva b de Mel,77,126,0,6,0,61.11,1983
Sarfraz Nawaz,c Madugalle b de Mel,9,10,0,1,0,90.0,1983
Abdul Qadir,not out,5,7,0,0,0,71.43,1983
Sidath Wettimuny,c Shahid Mahboob b Rashid Khan,50,127,0,4,0,39.37,1983
Brendon Kuruppu,b Rashid Khan,12,36,0,1,0,33.33,1983
Roy Dias,st Wasim Bari b Abdul Qadir,47,73,0,7,0,64.38,1983
Duleep Mendis,c Wasim Bari b Abdul Qadir,33,49,0,5,0,67.35,1983
Rumesh Ratnayake,st Wasim Bari b Abdul Qadir,1,6,0,0,0,16.67,1983
Ranjan Madugalle,c Abdul Qadir b Shahid Mahboob,26,20,0,1,1,130.0,1983
Arjuna Ranatunga,c Zaheer Abbas b Abdul Qadir,0,1,0,0,0,0.0,1983
Somachandra De Silva,run out,1,3,0,0,0,33.33,1983
Guy de Alwis,c Javed Miandad b Abdul Qadir,4,5,0,1,0,80.0,1983
Ashantha de Mel,c Imran Khan b Sarfraz Nawaz,17,19,0,1,0,89.47,1983
Vinothen John,not out,6,15,0,0,0,40.0,1983
Sir Gordon Greenidge,c Vengsarkar b Kapil Dev,9,13,0,0,0,69.23,1983
Desmond Haynes,c Kapil Dev b Amarnath,38,93,0,0,0,40.86,1983
Sir Viv Richards,c Kirmani b Sandhu,119,146,0,6,1,81.51,1983
Sir Clive Lloyd,run out,41,42,0,0,0,97.62,1983
Faoud Bacchus,b Binny,8,8,0,0,0,100.0,1983
Jeff Dujon,c Shastri b Binny,9,13,0,0,0,69.23,1983
Larry Gomes,not out,27,22,0,0,0,122.73,1983
Sir Andy Roberts,c Patil b Binny,7,9,0,0,0,77.78,1983
Malcolm Marshall,run out,4,7,0,0,0,57.14,1983
Michael Holding,c ? b Madan Lal,2,5,0,0,0,40.0,1983
Winston Davis,not out,0,2,0,0,0,0.0,1983
Kris Srikkanth,c Dujon b Roberts,2,9,0,0,0,22.22,1983
Ravi Shastri,c Dujon b Roberts,6,15,0,0,0,40.0,1983
Mohinder Amarnath,c Lloyd b Holding,80,139,0,0,0,57.55,1983
Dilip Vengsarkar,retired hurt,32,59,0,0,0,54.24,1983
Sandeep Patil,c & b Gomes,21,31,0,0,0,67.74,1983
Yashpal Sharma,run out,9,10,0,0,0,90.0,1983
Kapil Dev,c Haynes b Holding,36,46,0,0,0,78.26,1983
Roger Binny,lbw b Holding,1,4,0,0,0,25.0,1983
Madan Lal,not out,8,15,0,0,0,53.33,1983
Syed Kirmani,b Marshall,0,2,0,0,0,0.0,1983
Balwinder Sandhu,run out,0,2,0,0,0,0.0,1983
Graeme Fowler,c JJ Crowe b Chatfield,69,112,98,9,0,61.61,1983
Chris Tavare,c Cairns b Coney,18,44,55,1,0,40.91,1983
Sir Ian Botham,c & b Bracewell,12,9,13,1,1,133.33,1983
David Gower,not out,92,96,123,6,4,95.83,1983
Allan Lamb,c JJ Crowe b Cairns,8,14,16,1,0,57.14,1983
Mike Gatting,b Cairns,1,5,9,0,0,20.0,1983
Ian Gould,lbw b Cairns,4,14,13,0,0,28.57,1983
Vic Marks,b Hadlee,5,15,23,0,0,33.33,1983
Graham Dilley,b Hadlee,10,19,24,0,0,52.63,1983
Paul Allott,c Smith b Hadlee,0,1,1,0,0,0.0,1983
Bob Willis,lbw b Chatfield,0,3,2,0,0,0.0,1983
Glenn Turner,lbw b Willis,2,5,4,0,0,40.0,1983
Bruce Edgar,c Gould b Willis,1,6,13,0,0,16.67,1983
Geoff Howarth,run out,60,104,160,5,1,57.69,1983
Jeff Crowe,b Allott,17,46,57,1,0,36.96,1983
Martin Crowe,b Marks,20,40,36,2,0,50.0,1983
Jeremy Coney,not out,66,97,144,9,0,68.04,1983
Ian Smith,b Botham,4,6,6,1,0,66.67,1983
Sir Richard Hadlee,b Willis,31,45,58,3,0,68.89,1983
Lance Cairns,lbw b Willis,5,6,11,0,0,83.33,1983
John Bracewell,not out,4,7,9,1,0,57.14,1983
Ali Shah,b Roberts,2,20,0,0,0,10.0,1983
Grant Paterson,c Dujon b Holding,4,20,0,0,0,20.0,1983
Jack Heron,st Dujon b Gomes,12,73,0,0,0,16.44,1983
Andy Pycroft,run out,13,35,0,1,0,37.14,1983
Dave Houghton,c Dujon b Roberts,54,92,0,5,1,58.7,1983
