Batsman,Dismissal,Runs,Balls,Minutes,4s,6s,StrikeRate,Year
Younis Khan,c van Schoor b LJ Burger,28,39,48,2,0,71.79,2003
Inzamam-ul-Haq,b DB Kotze,4,15,17,0,0,26.67,2003
Mohammad Yousuf,c LJ Burger b BL Kotze,43,55,55,3,0,78.18,2003
Rashid Latif,b Snyman,36,30,41,4,0,120.0,2003
Wasim Akram,not out,20,14,32,3,0,142.86,2003
Abdul Razzaq,c van Schoor b Snyman,4,2,2,1,0,200.0,2003
Waqar Younis,run out (Snyman),8,7,10,1,0,114.29,2003
Saqlain Mushtaq,run out (BL Kotze/van Schoor),1,1,1,0,0,100.0,2003
Shoaib Akhtar,not out,3,3,5,0,0,100.0,2003
Riaan Walters,c Rashid Latif b Wasim Akram,0,4,3,0,0,0.0,2003
Stefan Swanepoel,c Inzamam-ul-Haq b Shoaib Akhtar,1,2,7,0,0,50.0,2003
Jan-Berrie Burger,c Younis Khan b Shoaib Akhtar,14,18,39,1,0,77.78,2003
Danie Keulder,b Shoaib Akhtar,0,2,2,0,0,0.0,2003
Gavin Murgatroyd,lbw b Wasim Akram,4,4,8,1,0,100.0,2003
Louis Burger,lbw b Wasim Akram,0,1,1,0,0,0.0,2003
Deon Kotze,lbw b Wasim Akram,8,25,41,0,0,32.0,2003
Gerrie Snyman,lbw b Shoaib Akhtar,0,1,1,0,0,0.0,2003
Melt van Schoor,lbw b Wasim Akram,2,4,4,0,0,50.0,2003
Bjorn Kotze,not out,24,29,50,3,0,82.76,2003
Rudi van Vuuren,c Waqar Younis b Saqlain Mushtaq,14,19,37,2,0,73.68,2003
Luuk van Troost,lbw b Anderson,8,31,43,1,0,25.81,2003
Daan van Bunge,c White b Anderson,4,19,24,1,0,21.05,2003
Nick Statham,lbw b Flintoff,7,35,54,0,0,20.0,2003
Bas Zuiderent,c Hussain b Anderson,2,16,25,0,0,12.5,2003
Klaas-Jan van Noortwijk,c Stewart b Anderson,0,2,4,0,0,0.0,2003
Tim de Leede,not out,58,96,133,6,0,60.42,2003
Feiko Kloppenburg,c Knight b Blackwell,10,30,43,1,0,33.33,2003
Edgar Schiferli,st Stewart b Blackwell,12,16,16,2,0,75.0,2003
Roland Lefebvre,b White,6,14,17,1,0,42.86,2003
Adeel Raja,lbw b White,2,5,6,0,0,40.0,2003
Jeroen Smits,not out,17,38,44,2,0,44.74,2003
Marcus Trescothick,b Schiferli,12,14,15,2,0,85.71,2003
Nick Knight,c Zuiderent b van Bunge,51,58,85,8,0,87.93,2003
Michael Vaughan,c de Leede b van Bunge,51,47,57,8,0,108.51,2003
Andrew Flintoff,c Lefebvre b van Bunge,0,2,4,0,0,0.0,2003
Ian Blackwell,not out,22,11,20,5,0,200.0,2003
Paul Collingwood,not out,5,8,10,1,0,62.5,2003
Ishwar Maraj,b Odoyo,5,17,22,1,0,29.41,2003
John Davison,c Obuya b Ongondo,31,32,47,2,2,96.88,2003
Desmond Chumney,c Shah b Obuya,10,20,29,2,0,50.0,2003
Ian Billcliff,b AO Suji,71,100,115,8,2,71.0,2003
Joe Harris,c AO Suji b Obuya,31,74,97,2,1,41.89,2003
Fazil Sattaur,b Odumbe,7,10,21,0,0,70.0,2003
Nicholas de Groot,lbw b Odumbe,0,4,4,0,0,0.0,2003
Ashish Bagai,c Obuya b Odoyo,12,15,20,1,0,80.0,2003
Sanjayan Thuraisingam,c Obuya b Odoyo,13,10,13,1,1,130.0,2003
Austin Codrington,b Odoyo,5,7,13,0,0,71.43,2003
Davis Joseph,not out,4,6,11,0,0,66.67,2003
Kennedy Otieno,b Thuraisingam,4,17,20,1,0,23.53,2003
Ravi Shah,c Maraj b Thuraisingam,61,95,133,9,0,64.21,2003
Steve Tikolo,lbw b Davison,42,49,76,6,0,85.71,2003
Hitesh Modi,c Harris b Davison,6,48,78,0,0,12.5,2003
Maurice Odumbe,lbw b Davison,26,19,31,2,1,136.84,2003
Thomas Odoyo,not out,27,42,49,2,0,64.29,2003
Peter Ongondo,b Codrington,16,16,33,2,0,100.0,2003
David Obuya,not out,4,5,5,0,0,80.0,2003
Sourav Ganguly,c Gilchrist b Lee,9,21,27,1,0,42.86,2003
Sachin Tendulkar,lbw b Gillespie,36,59,127,3,0,61.02,2003
Virender Sehwag,c Gilchrist b Lee,4,4,10,1,0,100.0,2003
Rahul Dravid,b Gillespie,1,23,27,0,0,4.35,2003
Yuvraj Singh,lbw b McGrath,0,8,8,0,0,0.0,2003
Mohammad Kaif,c Symonds b Gillespie,1,16,15,0,0,6.25,2003
Dinesh Mongia,c Symonds b Lee,13,39,45,1,0,33.33,2003
Anil Kumble,not out,16,38,56,1,0,42.11,2003
Harbhajan Singh,lbw b Hogg,28,32,36,4,1,87.5,2003
Zaheer Khan,lbw b Lehmann,1,9,9,0,0,11.11,2003
Javagal Srinath,run out (Lehmann),0,2,3,0,0,0.0,2003
Adam Gilchrist,st Dravid b Kumble,48,61,72,6,0,78.69,2003
Matthew Hayden,not out,45,49,91,1,2,91.84,2003
Ricky Ponting,not out,24,24,18,4,0,100.0,2003
Hannan Sarkar,b Vaas,0,1,1,0,0,0.0,2003
Al Sahariar,c de Silva b Vaas,10,13,28,1,0,76.92,2003
Mohammad Ashraful,c & b Vaas,0,1,1,0,0,0.0,2003
Ehsanul Haque,c Jayawardene b Vaas,0,1,1,0,0,0.0,2003
Sanwar Hossain,lbw b Vaas,4,2,1,1,0,200.0,2003
Alok Kapali,c Jayasuriya b Fernando,32,38,64,2,1,84.21,2003
Khaled Mashud,lbw b Muralitharan,20,67,88,2,0,29.85,2003
Mohammad Rafique,c Sangakkara b Muralitharan,6,16,27,0,0,37.5,2003
Tapash Baisya,c Arnold b Muralitharan,5,19,24,0,0,26.32,2003
Mashrafe Mortaza,c Muralitharan b Vaas,28,23,27,4,1,121.74,2003
Manjurul Islam,not out,3,9,20,0,0,33.33,2003
Marvan Atapattu,not out,69,71,81,11,0,97.18,2003
Sanath Jayasuriya,not out,55,57,81,7,1,96.49,2003
Stephen Fleming,c & b Dillon,25,25,29,4,1,100.0,2003
Daniel Vettori,b Drakes,13,25,53,2,0,52.0,2003
Nathan Astle,c Jacobs b Hinds,46,70,86,6,0,65.71,2003
Scott Styris,c Powell b Drakes,5,15,20,1,0,33.33,2003
Chris Cairns,c Dillon b Hinds,37,44,51,2,1,84.09,2003
Lou Vincent,c Hooper b Hinds,9,11,15,1,0,81.82,2003
Chris Harris,b Gayle,19,35,49,1,0,54.29,2003
Brendon McCullum,not out,36,53,69,1,0,67.92,2003
Andre Adams,not out,35,24,25,1,2,145.83,2003
Chris Gayle,c Fleming b Adams,22,29,35,5,0,75.86,2003
Wavell Hinds,c Styris b Adams,14,31,48,2,0,45.16,2003
Brian Lara,run out (Vincent/Cairns),2,4,4,0,0,50.0,2003
Shivnarine Chanderpaul,lbw b Oram,2,7,21,0,0,28.57,2003
Carl Hooper,c Bond b Adams,3,11,8,0,0,27.27,2003
Ramnaresh Sarwan,b Vettori,75,99,122,7,0,75.76,2003
Ricardo Powell,b Oram,14,14,27,1,1,100.0,2003
Ridley Jacobs,c Oram b Styris,50,73,96,3,1,68.49,2003
Vasbert Drakes,not out,16,18,28,1,0,88.89,2003
Nixon McLean,run out (Adams),5,7,9,0,0,71.43,2003
Mervyn Dillon,b Adams,8,6,11,0,0,133.33,2003
Sourav Ganguly,c Smits b Lefebvre,8,32,39,0,0,25.0,2003
Sachin Tendulkar,c Smits b de Leede,52,72,91,7,0,72.22,2003
Virender Sehwag,c Zuiderent b Kloppenburg,6,9,15,1,0,66.67,2003
Rahul Dravid,b de Leede,17,38,45,0,0,44.74,2003
Yuvraj Singh,c & b Adeel Raja,37,56,87,3,0,66.07,2003
Mohammad Kaif,c Lefebvre b Adeel Raja,9,21,25,0,0,42.86,2003
Dinesh Mongia,run out (Kloppenburg/de Leede),42,49,78,2,0,85.71,2003
Harbhajan Singh,b de Leede,13,8,12,0,1,162.5,2003
Anil Kumble,run out (Scholte/de Leede),9,7,9,0,0,128.57,2003
Zaheer Khan,lbw b de Leede,0,2,5,0,0,0.0,2003
Javagal Srinath,not out,0,0,1,0,0,0.0,2003
Feiko Kloppenburg,c Sehwag b Srinath,0,4,2,0,0,0.0,2003
Daan van Bunge,b Srinath,62,116,192,5,0,53.45,2003
Henk-Jan Mol,c Dravid b Srinath,2,30,38,0,0,6.67,2003
Bas Zuiderent,c Sehwag b Khan,0,6,7,0,0,0.0,2003
Tim de Leede,c Dravid b Harbhajan Singh,0,9,17,0,0,0.0,2003
Luuk van Troost,c Dravid b Kumble,1,10,10,0,0,10.0,2003
Reinout Scholte,lbw b Kumble,1,5,5,0,0,20.0,2003
Roland Lefebvre,lbw b Kumble,3,14,14,0,0,21.43,2003
Edgar Schiferli,c Mongia b Kumble,13,21,28,2,0,61.9,2003
Jeroen Smits,c Sehwag b Srinath,26,66,76,0,0,39.39,2003
Adeel Raja,not out,0,10,12,0,0,0.0,2003
Kennedy Otieno,run out (Gibbs),1,7,10,0,0,14.29,2003
Ravi Shah,run out (Klusener/Boje),60,87,110,7,0,68.97,2003
Brijal Patel,c Boucher b Pollock,1,4,4,0,0,25.0,2003
Steve Tikolo,c Kirsten b Pollock,3,16,25,0,0,18.75,2003
Hitesh Modi,c Pollock b Boje,9,24,41,0,0,37.5,2003
Maurice Odumbe,c Gibbs b Klusener,16,33,48,0,0,48.48,2003
Thomas Odoyo,c Boucher b Ntini,22,41,55,2,1,53.66,2003
Collins Obuya,lbw b Klusener,0,1,2,0,0,0.0,2003
Martin Suji,c Pollock b Klusener,0,5,8,0,0,0.0,2003
Peter Ongondo,c Kirsten b Klusener,13,13,17,1,1,100.0,2003
Aasif Karim,not out,0,1,8,0,0,0.0,2003
Herschelle Gibbs,not out,87,66,84,12,4,131.82,2003
Gary Kirsten,not out,52,63,84,9,0,82.54,2003
Ishwar Maraj,c Sanwar Hossain b Tapash Baisya,24,43,55,3,0,55.81,2003
John Davison,b Mashrafe Mortaza,8,14,24,2,0,57.14,2003
Desmond Chumney,run out (Al Sahariar),28,25,46,3,1,112.0,2003
Ian Billcliff,run out (Hannan Sarkar),42,63,90,6,0,66.67,2003
Joe Harris,c Khaled Mashud b Sanwar Hossain,4,23,24,0,0,17.39,2003
Nicholas de Groot,c Alok Kapali b Sanwar Hossain,0,4,7,0,0,0.0,2003
Fazil Sattaur,lbw b Alok Kapali,13,40,33,0,1,32.5,2003
Ashish Bagai,b Mashrafe Mortaza,7,23,25,0,0,30.43,2003
Sanjayan Thuraisingam,lbw b Mohammad Rafique,6,14,31,1,0,42.86,2003
Austin Codrington,c Tapash Baisya b Manjural Islam,16,31,37,1,0,51.61,2003
Davis Joseph,not out,9,17,22,1,0,52.94,2003
Hannan Sarkar,c Bagai b Codrington,25,35,53,4,0,71.43,2003
Al Sahariar,c sub (AM Samad) b Joseph,9,18,28,2,0,50.0,2003
Habibul Bashar,c Bagai b Thuraisingam,0,8,17,0,0,0.0,2003
Ehsanul Haque,c Bagai b Joseph,13,17,33,2,0,76.47,2003
Sanwar Hossain,lbw b Davison,25,24,51,2,0,104.17,2003
Alok Kapali,lbw b Codrington,19,25,30,2,0,76.0,2003
Khaled Mashud,c sub (AM Samad) b Davison,1,8,8,0,0,12.5,2003
Mohammad Rafique,c Davison b Codrington,12,19,28,2,0,63.16,2003
Tapash Baisya,c Sattaur b Codrington,0,8,12,0,0,0.0,2003
Mashrafe Mortaza,c Sattaur b Codrington,0,2,1,0,0,0.0,2003
Manjurul Islam,not out,0,4,9,0,0,0.0,2003
Adam Gilchrist,c Waqar Younis b Wasim Akram,1,3,10,0,0,33.33,2003
Matthew Hayden,b Wasim Akram,27,41,51,3,0,65.85,2003
Ricky Ponting,c Taufeeq Umar b Shoaib Akhtar,53,67,129,7,0,79.1,2003
Damien Martyn,b Wasim Akram,0,1,1,0,0,0.0,2003
Jimmy Maher,c Rashid Latif b Waqar Younis,9,19,26,1,0,47.37,2003
Andrew Symonds,not out,143,125,139,18,2,114.4,2003
Brad Hogg,run out (Younis Khan/Rashid Latif),14,22,32,0,0,63.64,2003
Ian Harvey,c Waqar Younis b Shoaib Akhtar,24,19,28,3,0,126.32,2003
Brett Lee,c Inzamam-ul-Haq b Waqar Younis,2,6,10,0,0,33.33,2003
Jason Gillespie,not out,6,4,7,1,0,150.0,2003
Taufeeq Umar,c Hogg b Lee,21,43,50,4,0,48.84,2003
Shahid Afridi,c Gilchrist b Gillespie,1,8,16,0,0,12.5,2003
Saleem Elahi,c Lee b Harvey,30,40,74,3,0,75.0,2003
Inzamam-ul-Haq,c Gilchrist b McGrath,6,13,16,1,0,46.15,2003
Mohammad Yousuf,c Symonds b Harvey,27,37,49,4,0,72.97,2003
Younis Khan,c Ponting b Hogg,19,28,45,0,0,67.86,2003
Abdul Razzaq,c & b Hogg,25,33,36,2,0,75.76,2003
Rashid Latif,b Hogg,33,23,39,1,3,143.48,2003
Wasim Akram,c Ponting b Harvey,33,31,44,4,1,106.45,2003
Waqar Younis,c McGrath b Harvey,6,11,29,0,0,54.55,2003
Shoaib Akhtar,not out,0,5,7,0,0,0.0,2003
Marvan Atapattu,c Styris b Bond,6,17,24,0,0,35.29,2003
Sanath Jayasuriya,lbw b Astle,120,125,147,14,0,96.0,2003
Hashan Tillakaratne,not out,81,106,190,5,0,76.42,2003
Mahela Jayawardene,lbw b Adams,1,3,5,0,0,33.33,2003
Aravinda de Silva,c Styris b Astle,12,11,11,2,0,109.09,2003
Kumar Sangakkara,c Adams b Astle,13,18,22,0,0,72.22,2003
Russel Arnold,b Bond,12,14,10,0,0,85.71,2003
Chaminda Vaas,b Adams,5,4,6,0,0,125.0,2003
Muttiah Muralitharan,not out,4,6,7,0,0,66.67,2003
Stephen Fleming,c Sangakkara b Gunaratne,1,4,9,0,0,25.0,2003
Nathan Astle,run out (Vaas),0,5,4,0,0,0.0,2003
Craig McMillan,c Sangakkara b Gunaratne,3,12,20,0,0,25.0,2003
Scott Styris,c Vaas b Arnold,141,125,177,3,6,112.8,2003
Chris Cairns,c & b de Silva,32,56,71,2,0,57.14,2003
Lou Vincent,c Muralitharan b Jayasuriya,1,4,3,0,0,25.0,2003
Chris Harris,b Muralitharan,13,35,40,0,0,37.14,2003
Jacob Oram,st Sangakkara b Muralitharan,12,20,20,0,0,60.0,2003
Andre Adams,c sub (J Mubarak) b Arnold,1,4,5,0,0,25.0,2003
Daryl Tuffey,c Sangakkara b Arnold,4,3,6,0,0,133.33,2003
Shane Bond,not out,2,5,8,0,0,40.0,2003
Craig Wishart,not out,172,151,191,18,3,113.91,2003
Mark Vermeulen,c & b Louw,39,66,80,7,0,59.09,2003
Andy Flower,c Karg b AJ Burger,39,29,37,3,1,134.48,2003
Grant Flower,not out,78,55,72,4,2,141.82,2003
Riaan Walters,c Taibu b Streak,0,1,1,0,0,0.0,2003
Stefan Swanepoel,c Streak b Whittall,23,47,74,2,0,48.94,2003
Jan-Berrie Burger,c A Flower b Streak,26,18,33,3,1,144.44,2003
Danie Keulder,c Ebrahim b Whittall,27,46,53,3,0,58.7,2003
Gavin Murgatroyd,c Wishart b GW Flower,10,26,19,1,0,38.46,2003
Louis Burger,not out,4,10,8,0,0,40.0,2003
Deon Kotze,not out,5,3,3,0,0,166.67,2003
Chris Gayle,b Pollock,2,21,29,0,0,9.52,2003
Wavell Hinds,c Boucher b Pollock,0,16,20,0,0,0.0,2003
Brian Lara,c Pollock b Ntini,116,134,181,12,2,86.57,2003
Shivnarine Chanderpaul,c Boucher b Klusener,34,60,98,3,0,56.67,2003
Carl Hooper,c Kallis b Ntini,40,40,62,3,0,100.0,2003
Ricardo Powell,not out,40,18,31,5,1,222.22,2003
Ramnaresh Sarwan,not out,32,15,20,2,2,213.33,2003
Herschelle Gibbs,c Jacobs b Dillon,24,28,36,4,0,85.71,2003
Gary Kirsten,c & b Dillon,69,92,133,6,1,75.0,2003
Boeta Dippenaar,st Jacobs b Hooper,20,25,31,2,1,80.0,2003
Jacques Kallis,c Jacobs b Collins,13,18,22,2,0,72.22,2003
Jonty Rhodes,b Hooper,2,6,11,0,0,33.33,2003
Mark Boucher,b Gayle,49,49,67,4,1,100.0,2003
Shaun Pollock,c Hooper b Gayle,4,4,4,0,0,100.0,2003
Lance Klusener,c Hooper b Drakes,57,48,71,1,5,118.75,2003
Nicky Boje,not out,25,25,46,2,0,100.0,2003
Makhaya Ntini,c Sarwan b Drakes,0,2,3,0,0,0.0,2003
Allan Donald,not out,0,0,2,0,0,0.0,2003
Adam Gilchrist,c Silva b Fernando,149,104,129,13,8,143.27,2007
Matthew Hayden,c Jayawardene b Malinga,38,55,100,3,1,69.09,2007
Ricky Ponting,run out (Jayawardene),37,42,53,1,1,88.1,2007
Andrew Symonds,not out,23,21,39,2,0,109.52,2007
Shane Watson,b Malinga,3,3,3,0,0,100.0,2007
Michael Clarke,not out,8,6,10,1,0,133.33,2007
Upul Tharanga,c Gilchrist b Bracken,6,8,11,1,0,75.0,2007
Sanath Jayasuriya,b Clarke,63,67,108,9,0,94.03,2007
Kumar Sangakkara,c Ponting b Hogg,54,52,72,6,1,103.85,2007
Mahela Jayawardene,lbw b Watson,19,19,31,1,0,100.0,2007
Chamara Silva,b Clarke,21,22,41,1,1,95.45,2007
Tillakaratne Dilshan,run out (Clarke/McGrath),14,13,20,2,0,107.69,2007
Russel Arnold,c Gilchrist b McGrath,1,2,9,0,0,50.0,2007
Chaminda Vaas,not out,11,21,20,0,0,52.38,2007
Lasith Malinga,st Gilchrist b Symonds,10,6,6,0,1,166.67,2007
Dilhara Fernando,not out,1,6,6,0,0,16.67,2007
Graeme Smith,b Bracken,2,5,10,0,0,40.0,2007
AB de Villiers,c Gilchrist b Tait,15,34,39,3,0,44.12,2007
Jacques Kallis,b McGrath,5,9,12,1,0,55.56,2007
Herschelle Gibbs,c Gilchrist b Tait,39,49,77,6,0,79.59,2007
Ashwell Prince,c Gilchrist b McGrath,0,2,4,0,0,0.0,2007
Mark Boucher,c Hayden b McGrath,0,1,1,0,0,0.0,2007
Justin Kemp,not out,49,91,151,4,1,53.85,2007
Andrew Hall,c Gilchrist b Tait,3,8,14,0,0,37.5,2007
Shaun Pollock,c & b Hogg,5,13,15,1,0,38.46,2007
Andre Nel,c Clarke b Tait,8,41,45,1,0,19.51,2007
Charl Langeveldt,b Watson,6,10,18,1,0,60.0,2007
Adam Gilchrist,b Langeveldt,1,5,4,0,0,20.0,2007
Matthew Hayden,c Smith b Pollock,41,60,115,4,0,68.33,2007
Ricky Ponting,b Nel,22,25,38,5,0,88.0,2007
Michael Clarke,not out,60,86,109,8,0,69.77,2007
Andrew Symonds,not out,18,16,29,3,0,112.5,2007
Upul Tharanga,b Vettori,73,74,112,9,1,98.65,2007
Sanath Jayasuriya,b Franklin,1,6,11,0,0,16.67,2007
Kumar Sangakkara,c Fleming b Franklin,18,42,50,2,0,42.86,2007
Mahela Jayawardene,not out,115,109,155,10,3,105.5,2007
Chamara Silva,lbw b Bond,21,33,36,0,1,63.64,2007
Tillakaratne Dilshan,lbw b Oram,30,27,42,3,0,111.11,2007
Russel Arnold,not out,14,14,24,2,0,100.0,2007
Peter Fulton,c Silva b Jayasuriya,46,77,116,2,1,59.74,2007
Stephen Fleming,lbw b Malinga,1,4,7,0,0,25.0,2007
Ross Taylor,lbw b Vaas,9,25,43,1,0,36.0,2007
Scott Styris,c Jayawardene b Dilshan,37,38,50,2,3,97.37,2007
Jacob Oram,c & b Muralitharan,3,7,8,0,0,42.86,2007
Brendon McCullum,c Silva b Muralitharan,0,1,1,0,0,0.0,2007
Craig McMillan,b Jayasuriya,25,20,36,1,2,125.0,2007
Daniel Vettori,lbw b Muralitharan,0,4,5,0,0,0.0,2007
James Franklin,not out,30,38,57,2,0,78.95,2007
Shane Bond,b Muralitharan,2,4,6,0,0,50.0,2007
Jeetan Patel,c Fernando b Dilshan,34,38,33,2,1,89.47,2007
Chris Gayle,c Broad b Flintoff,79,58,105,10,3,136.21,2007
Devon Smith,c Collingwood b Flintoff,61,106,135,6,0,57.55,2007
Brian Lara,run out (Pietersen),18,17,39,3,0,105.88,2007
Marlon Samuels,c Collingwood b Vaughan,51,39,59,6,1,130.77,2007
Ramnaresh Sarwan,c Nixon b Plunkett,3,8,11,0,0,37.5,2007
Shivnarine Chanderpaul,c Plunkett b Collingwood,34,39,52,5,0,87.18,2007
Dwayne Bravo,c Dalrymple b Vaughan,13,11,16,1,0,118.18,2007
Denesh Ramdin,not out,10,11,20,1,0,90.91,2007
Jerome Taylor,c Dalrymple b Vaughan,12,10,9,1,0,120.0,2007
Daren Powell,run out (Flintoff),0,1,4,0,0,0.0,2007
Corey Collymore,run out (Flintoff),1,2,3,0,0,50.0,2007
Sir Andrew Strauss,c Smith b Collymore,7,12,10,1,0,58.33,2007
Michael Vaughan,run out (Bravo),79,68,116,6,2,116.18,2007
Ravi Bopara,run out (Bravo),26,43,60,3,0,60.47,2007
Kevin Pietersen,b Taylor,100,91,144,10,1,109.89,2007
Paul Collingwood,b Bravo,6,11,11,1,0,54.55,2007
Andrew Flintoff,c Powell b Sarwan,15,20,23,2,0,75.0,2007
Jamie Dalrymple,run out (Smith),1,6,6,0,0,16.67,2007
Paul Nixon,b Bravo,38,39,83,4,0,97.44,2007
Liam Plunkett,c Bravo b Taylor,2,3,4,0,0,66.67,2007
Stuart Broad,not out,5,5,24,0,0,100.0,2007
James Anderson,not out,0,1,7,0,0,0.0,2007
Adam Gilchrist,c Gillespie b Franklin,1,2,7,0,0,50.0,2007
Matthew Hayden,c & b Styris,103,100,150,10,2,103.0,2007
Ricky Ponting,c Taylor b Patel,66,70,96,7,0,94.29,2007
Michael Clarke,b Franklin,49,46,59,7,0,106.52,2007
Michael Hussey,c Styris b Franklin,37,44,75,2,0,84.09,2007
Andrew Symonds,c Mason b Patel,11,16,20,1,0,68.75,2007
Shane Watson,not out,65,32,44,4,4,203.13,2007
Brad Hogg,not out,0,0,3,0,0,0.0,2007
Peter Fulton,b Hogg,62,72,127,5,0,86.11,2007
Stephen Fleming,c Ponting b Tait,12,9,18,1,1,133.33,2007
Ross Taylor,c Hussey b McGrath,3,6,8,0,0,50.0,2007
Scott Styris,c Hayden b McGrath,27,22,30,5,0,122.73,2007
Craig McMillan,lbw b Tait,1,5,6,0,0,20.0,2007
James Franklin,b Watson,6,9,11,0,0,66.67,2007
Brendon McCullum,c Hussey b Hogg,7,16,19,0,0,43.75,2007
Daniel Vettori,c Symonds b Hogg,4,4,7,1,0,100.0,2007
Mark Gillespie,c McGrath b Hogg,2,8,9,0,0,25.0,2007
Michael Mason,c Gilchrist b Tait,0,5,6,0,0,0.0,2007
Jeetan Patel,not out,0,1,3,0,0,0.0,2007
Chris Gayle,lbw b Syed Rasel,1,11,17,0,0,9.09,2007
Devon Smith,b Mashrafe Mortaza,5,12,13,0,0,41.67,2007
Shivnarine Chanderpaul,b Aftab Ahmed,50,85,139,3,0,58.82,2007
Marlon Samuels,c Mushfiqur Rahim b Shakib Al Hasan,31,66,74,4,0,46.97,2007
Ramnaresh Sarwan,not out,91,90,110,5,2,101.11,2007
Brian Lara,c Javed Omar b Abdur Razzak,33,27,34,1,2,122.22,2007
Dwayne Bravo,not out,9,9,15,0,0,100.0,2007
Javed Omar,c Gayle b Powell,16,49,77,1,0,32.65,2007
Tamim Iqbal,run out (Bravo),7,20,27,1,0,35.0,2007
Aftab Ahmed,c Ramdin b Collymore,6,8,10,0,0,75.0,2007
Shakib Al Hasan,c Ramdin b Collymore,0,5,9,0,0,0.0,2007
Mohammad Ashraful,c Samuels b Powell,2,8,18,0,0,25.0,2007
Habibul Bashar,c Bravo b Powell,12,21,29,1,0,57.14,2007
Mushfiqur Rahim,not out,38,75,112,2,0,50.67,2007
Mashrafe Mortaza,b Bravo,37,51,58,4,0,72.55,2007
Mohammad Rafique,lbw b Gayle,0,5,3,0,0,0.0,2007
Abdur Razzak,c Lara b Bravo,1,10,9,0,0,10.0,2007
Syed Rasel,b Gayle,2,13,18,0,0,15.38,2007
Jeremy Bray,c Arnold b Maharoof,20,29,32,4,0,68.97,2007
William Porterfield,c Jayasuriya b Maharoof,17,51,79,1,0,33.33,2007
Andre Botha,c Sangakkara b Maharoof,0,2,2,0,0,0.0,2007
Eoin Morgan,c Sangakkara b Maharoof,0,1,1,0,0,0.0,2007
Niall O'Brien,c Sangakkara b Muralitharan,4,28,46,0,0,14.29,2007
Kevin O'Brien,c Jayasuriya b Muralitharan,2,4,14,0,0,50.0,2007
Kenny Carroll,b Muralitharan,0,2,1,0,0,0.0,2007
Trent Johnston,run out (Maharoof),0,4,5,0,0,0.0,2007
Kyle McCallan,lbw b Muralitharan,0,9,10,0,0,0.0,2007
Dave Langford-Smith,lbw b Vaas,18,21,29,2,1,85.71,2007
Boyd Rankin,not out,7,17,20,1,0,41.18,2007
Upul Tharanga,c Porterfield b Rankin,0,7,5,0,0,0.0,2007
Sanath Jayasuriya,not out,24,20,51,3,1,120.0,2007
Kumar Sangakkara,c Carroll b Langford-Smith,10,9,15,1,0,111.11,2007
Mahela Jayawardene,not out,39,27,30,6,1,144.44,2007
Ian Bell,c Prince b Langeveldt,7,23,30,1,0,30.43,2007
Michael Vaughan,lbw b Nel,17,38,53,3,0,44.74,2007
Sir Andrew Strauss,c Smith b Kallis,46,67,113,2,1,68.66,2007
Kevin Pietersen,c Smith b Nel,3,15,20,0,0,20.0,2007
Paul Collingwood,lbw b Hall,30,57,75,3,0,52.63,2007
Andrew Flintoff,b Hall,5,10,14,0,0,50.0,2007
Ravi Bopara,not out,27,44,66,4,0,61.36,2007
Paul Nixon,c Boucher b Hall,1,2,3,0,0,50.0,2007
Sajid Mahmood,b Hall,0,1,5,0,0,0.0,2007
Monty Panesar,c Boucher b Nel,2,28,30,0,0,7.14,2007
James Anderson,lbw b Hall,0,6,15,0,0,0.0,2007
AB de Villiers,c Nixon b Flintoff,42,35,45,8,0,120.0,2007
Graeme Smith,not out,89,58,100,13,0,153.45,2007
Jacques Kallis,not out,17,25,54,2,0,68.0,2007
Upul Tharanga,c Hayden b Bracken,6,22,33,0,0,27.27,2007
Sanath Jayasuriya,lbw b Bracken,12,12,21,2,0,100.0,2007
Kumar Sangakkara,lbw b McGrath,0,4,6,0,0,0.0,2007
Mahela Jayawardene,st Gilchrist b Hogg,72,88,133,5,1,81.82,2007
Chamara Silva,c Clarke b Hogg,64,107,119,6,0,59.81,2007
Tillakaratne Dilshan,c Hodge b Tait,7,12,13,0,0,58.33,2007
Russel Arnold,b Tait,3,10,15,0,0,30.0,2007
Farveez Maharoof,c Symonds b Bracken,25,22,40,4,0,113.64,2007
Nuwan Kulasekara,c Hayden b Bracken,1,5,5,0,0,20.0,2007
Malinga Bandara,c Hogg b McGrath,17,19,23,0,2,89.47,2007
Dilhara Fernando,not out,0,0,4,0,0,0.0,2007
Adam Gilchrist,lbw b Arnold,30,49,65,4,0,61.22,2007
Matthew Hayden,c Dilshan b Arnold,41,30,56,5,2,136.67,2007
Ricky Ponting,not out,66,80,116,4,1,82.5,2007
Michael Clarke,c Dilshan b Bandara,23,31,38,4,0,74.19,2007
Andrew Symonds,not out,63,71,66,5,2,88.73,2007
William Porterfield,c Mohammad Rafique b Mashrafe Mortaza,85,136,175,3,0,62.5,2007
Jeremy Bray,run out (Shakib Al Hasan/Mushfiqur Rahim),31,70,111,1,0,44.29,2007
Eoin Morgan,run out (Mushfiqur Rahim/Shahadat Hossain),5,9,7,1,0,55.56,2007
Niall O'Brien,c Tamim Iqbal b Shakib Al Hasan,10,14,21,0,0,71.43,2007
Kevin O'Brien,run out (sub [Farhad Reza]/Mushfiqur Rahim),48,44,58,2,2,109.09,2007
