time_period,term,tfidf
2019-8-Q4,johnson,0.06994132480159225
2019-9-Q1,dorian,0.3485210189412373
2019-9-Q1,bahamas,0.22146055943497775
2019-9-Q1,hurricane,0.20493078834899492
2019-9-Q1,trump,0.1464234853016158
2019-9-Q1,new,0.12934074534976062
2019-9-Q1,brexit,0.11384586803022913
2019-9-Q1,dorians,0.0941034096767226
2019-9-Q1,review,0.09273487402435668
2019-9-Q1,hong_kong,0.09105214121402036
2019-9-Q1,open,0.09029448260266308
2019-9-Q1,dies,0.09029448260266308
2019-9-Q1,briefing,0.08541369975927589
2019-9-Q1,serena,0.08214371598307635
2019-9-Q1,september,0.0786623481483675
2019-9-Q1,2019,0.07501485377638745
2019-9-Q1,life,0.0732117426508079
2019-9-Q1,bianca,0.06843884340125281
2019-9-Q1,day,0.06345017696403353
2019-9-Q1,new_york,0.06100978554233993
2019-9-Q1,summer,0.05998061372226434
2019-9-Q2,trump,0.25238954885029746
2019-9-Q2,new,0.18814493641567628
2019-9-Q2,debate,0.14939044891548414
2019-9-Q2,spring,0.11845460934497755
2019-9-Q2,fpo,0.10597012139084884
2019-9-Q2,briefing,0.1055447204283062
2019-9-Q2,executive,0.09906047697703024
2019-9-Q2,democratic,0.09799272161511548
2019-9-Q2,11,0.09636691865193177
2019-9-Q2,says,0.09407246820783814
2019-9-Q2,2020,0.09177801776374453
2019-9-Q2,dorian,0.08655662887457022
2019-9-Q2,power,0.08430337356382164
2019-9-Q2,bolton,0.08266202111669915
2019-9-Q2,dies,0.08030576554327645
2019-9-Q2,brexit,0.08027821893800037
2019-9-Q2,day,0.07571686465508923
2019-9-Q2,bahamas,0.07474446088369158
2019-9-Q2,review,0.07342241421099563
2019-9-Q2,cigarettes,0.062026235922022124
2019-9-Q3,trump,0.2614553831077567
2019-9-Q3,new,0.1547389002066315
2019-9-Q3,says,0.11472021911870955
2019-9-Q3,trudeau,0.10117192262581322
2019-9-Q3,spring,0.10050943576621987
2019-9-Q3,iran,0.10047208151063952
2019-9-Q3,review,0.0987127466835408
2019-9-Q3,briefing,0.09604483461101268
2019-9-Q3,2020,0.09604483461101268
2019-9-Q3,climate,0.09530228812241312
2019-9-Q3,whistle,0.09128202208716163
2019-9-Q3,saudis,0.08990007571849723
2019-9-Q3,blower,0.08599613423194122
2019-9-Q3,strike,0.08556615122471789
2019-9-Q3,saudi,0.08201603850998146
2019-9-Q3,rugby,0.07984287219612707
2019-9-Q3,kavanaugh,0.07443620739852637
2019-9-Q3,2019,0.0713118082936081
2019-9-Q3,dies,0.06936571388573137
2019-9-Q3,cokie,0.06721014419347669
2019-9-Q4,impeachment,0.35708958194627666
2019-9-Q4,trump,0.28841870370419065
2019-9-Q4,ukraine,0.16015740712220355
2019-9-Q4,spring,0.14170221505804628
2019-9-Q4,new,0.1360848813252167
2019-9-Q4,2020,0.1320226460617774
2019-9-Q4,emmy,0.11995771366446775
2019-9-Q4,whistle,0.11338534056988253
2019-9-Q4,emmys,0.11333858776104296
2019-9-Q4,inquiry,0.11248640857372316
2019-9-Q4,review,0.10358699921770227
2019-9-Q4,says,0.09749364632254333
2019-9-Q4,briefing,0.09140029342738436
2019-9-Q4,trumps,0.09140029342738436
2019-9-Q4,2019,0.08143596972315435
2019-9-Q4,dies,0.07921358763706644
