time_period,term,tfidf
2019-9-Q3,saudis,0.0916226449899476
2019-9-Q3,whistle,0.08956460887943113
2019-9-Q3,strike,0.08643598921432726
2019-9-Q3,rugby,0.0838278180322816
2019-9-Q3,blower,0.08373032705608993
2019-9-Q3,saudi,0.0812464635944282
2019-9-Q3,kavanaugh,0.07727768166836613
2019-9-Q3,2019,0.07152525131349498
2019-9-Q3,cokie,0.06892655271942592
2019-9-Q3,dies,0.06866398027593804
2019-9-Q4,impeachment,0.3682025017387166
2019-9-Q4,trump,0.2843091356202395
2019-9-Q4,ukraine,0.1629569620753291
2019-9-Q4,spring,0.14893225797726922
2019-9-Q4,new,0.1341458597644792
2019-9-Q4,2020,0.13014150574165892
2019-9-Q4,emmy,0.11522486589206737
2019-9-Q4,emmys,0.1116184454840315
